test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6758
Bug new joiner was not publishing on correct SFU,2187.791719824848,0.0,9,84,failed,6758
Create and join a group call,4458.092250705177,0.0,19,167,failed,6758
Decline a new video call in DM as widget,2187.791719824848,0.0,9,86,failed,6758
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6758
Footer interaction in PiP,6217.441310891275,0.0,18,59,failed,6758
Landing page,0.0,0.0,0,0,pass,6758
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6758
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6758
Put call in PIP,5105.951434493425,0.0,16,129,failed,6758
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6758
Should request JWT token before starting the call,1474.6140520374963,0.0,5,17,pass,6758
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6758
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,6758
Start a new call as widget,2187.791719824848,0.0,9,86,failed,6758
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6758
Start a new video call in DM as widget,2187.791719824848,0.0,9,86,failed,6758
Start a new voice call in DM as widget,2187.791719824848,0.0,9,86,failed,6758
Test federated call with rtc modes compat and compat,1052.6414543846827,0.0,4,44,failed,6758
Test federated call with rtc modes compat and legacy,2187.791719824848,0.0,9,84,failed,6758
Test federated call with rtc modes legacy and compat,2071.026999125486,0.0,8,84,failed,6758
Test federated call with rtc modes legacy and legacy,2187.791719824848,0.0,9,84,failed,6758
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,2187.791719824848,0.0,9,84,failed,6758
"When creator left, avoid reconnect to the same SFU",3724.776707400328,0.0,10,21,failed,6758
can only interact with header and footer while reconnecting,908.0939729582108,0.0,4,18,failed,6758
has title,0.0,0.0,0,0,pass,6758
