test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,7018
Bug new joiner was not publishing on correct SFU,3232.8832340641243,0.0,19,62,failed,7018
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7018
Create and join a group call,1317.5603819618636,0.0,10,155,failed,7018
Decline a new video call in DM as widget,3370.822891238401,0.0,27,64,failed,7018
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7018
Footer interaction in PiP,1905.8631308080417,0.0,20,31,failed,7018
Landing page,0.0,0.0,0,0,pass,7018
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,7018
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,7018
Put call in PIP,3232.8832340641243,0.0,33,60,failed,7018
Sharing screen in group call,2042.1753064630495,0.0,66,88,failed,7018
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7018
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,7018
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7018
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7018
"Sign up a new account, then login, then logout",0.0,0.0,0,0,failed,7018
Start a new call as widget,3370.822891238401,0.0,12,64,failed,7018
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,7018
Start a new video call in DM as widget,3370.822891238401,0.0,38,64,failed,7018
Start a new voice call in DM as widget,3370.822891238401,0.0,23,64,failed,7018
Test federated call with rtc modes compat and compat,902.7881553121034,0.0,4,61,failed,7018
Test federated call with rtc modes compat and legacy,8071.494191326826,0.0,41,119,failed,7018
Test federated call with rtc modes legacy and compat,1905.8631308080417,0.0,28,61,failed,7018
Test federated call with rtc modes legacy and legacy,5132.4005865537,0.0,27,119,failed,7018
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,3370.822891238401,0.0,19,62,failed,7018
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,7018
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,7018
has title,0.0,0.0,0,0,pass,7018
