test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6978
Bug new joiner was not publishing on correct SFU,9388.149367994934,0.0,75,120,failed,6978
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,6978
Create and join a group call,1317.5603819618636,0.0,10,155,failed,6978
Decline a new video call in DM as widget,7802.2904168288505,0.0,23,113,failed,6978
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6978
Footer interaction in PiP,5984.20861329963,0.0,35,48,failed,6978
Landing page,0.0,0.0,0,0,pass,6978
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6978
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6978
Put call in PIP,9797.082174623176,0.0,35,117,pass,6978
Sharing screen in group call,7856.962544813143,0.0,37,178,failed,6978
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6978
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,6978
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,6978
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6978
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,6978
Start a new call as widget,6410.40884379771,0.0,26,119,failed,6978
Start a new call then leave and show the feedback screen,2046.558979456212,0.0,6,17,pass,6978
Start a new video call in DM as widget,6963.313659105492,0.0,37,113,failed,6978
Start a new voice call in DM as widget,6989.355637385348,0.0,70,113,failed,6978
Test federated call with rtc modes compat and compat,8814.674610365315,0.0,32,119,failed,6978
Test federated call with rtc modes compat and legacy,8086.307969294199,0.0,95,119,failed,6978
Test federated call with rtc modes legacy and compat,8656.928255641988,0.0,47,119,failed,6978
Test federated call with rtc modes legacy and legacy,8399.902383715556,0.0,28,119,failed,6978
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,9388.149367994934,0.0,63,120,failed,6978
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6978
can only interact with header and footer while reconnecting,908.0939729582108,0.0,4,18,failed,6978
has title,0.0,0.0,0,0,pass,6978
