test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",3720.9380221398355,0.0,10,21,pass,7119
Bug new joiner was not publishing on correct SFU,3232.8832340641243,0.0,11,62,failed,7119
"BugFix: When unmuting in lobby, you had to click twice to unmute in call",1861.2616003283651,0.0,8,14,pass,7119
Create and join a group call,4716.948645766357,0.0,90,334,failed,7119
Decline a new video call in DM as widget,3370.822891238401,0.0,25,64,failed,7119
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,7119
Footer interaction in PiP,1905.8631308080417,0.0,6,31,failed,7119
Landing page,0.0,0.0,0,0,pass,7119
One to One call using matrix rtc 2.0 aka sticky events,3401.599744055208,0.0,10,15,failed,7119
One to One rejoin after improper leave does not crash EC,3401.599744055208,0.0,10,15,failed,7119
Put call in PIP,3370.822891238401,0.0,11,60,failed,7119
Sharing screen in group call,8737.312187052219,0.0,38,178,pass,7119
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,7119
Should request JWT token before starting the call,1481.578933528233,0.0,5,17,pass,7119
Should show error screen if call creation is restricted,908.0939729582108,0.0,4,17,pass,7119
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,7119
"Sign up a new account, then login, then logout",0.0,0.0,0,0,failed,7119
Start a new call as widget,2194.0441704267378,0.0,8,64,failed,7119
Start a new call then leave and show the feedback screen,2046.558979456212,0.0,6,17,pass,7119
Start a new video call in DM as widget,3370.822891238401,0.0,11,64,failed,7119
Start a new voice call in DM as widget,3232.8832340641243,0.0,11,64,failed,7119
Test federated call with rtc modes compat and compat,2169.8631308080417,0.0,28,61,failed,7119
Test federated call with rtc modes compat and legacy,2341.9768180065016,0.0,20,61,failed,7119
Test federated call with rtc modes legacy and compat,2341.9768180065016,0.0,17,61,failed,7119
Test federated call with rtc modes legacy and legacy,2756.749044656262,0.0,11,61,failed,7119
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,3370.822891238401,0.0,13,62,failed,7119
"When creator left, avoid reconnect to the same SFU",5290.770159050964,0.0,14,28,failed,7119
can only interact with header and footer while reconnecting,908.0939729582108,0.0,4,18,failed,7119
has title,0.0,0.0,0,0,pass,7119
