test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
"As a guest, create a call, share link and other join",894.0939729582108,0.0,3,14,failed,6767
Bug new joiner was not publishing on correct SFU,902.7881553121034,0.0,2,33,failed,6767
Create and join a group call,902.7881553121034,0.0,2,31,failed,6767
Decline a new video call in DM as widget,902.7881553121034,0.0,2,31,failed,6767
Error when pre-warming the focus are caught by the ErrorBoundary,908.0939729582108,0.0,4,17,pass,6767
Footer interaction in PiP,902.7881553121034,0.0,2,31,failed,6767
Landing page,0.0,0.0,0,0,pass,6767
One to One call using matrix rtc 2.0 aka sticky events,894.0939729582108,0.0,3,15,failed,6767
One to One rejoin after improper leave does not crash EC,894.0939729582108,0.0,3,15,failed,6767
Put call in PIP,902.7881553121034,0.0,2,31,failed,6767
Sharing screen in group call,902.7881553121034,0.0,2,30,failed,6767
Should automatically retry non fatal JWT errors,908.0939729582108,0.0,4,17,pass,6767
Should request JWT token before starting the call,1474.6140520374963,0.0,5,17,pass,6767
Should show error screen if fails to get JWT token,908.0939729582108,0.0,4,17,pass,6767
"Sign up a new account, then login, then logout",1722.961982552809,0.0,5,46,failed,6767
Start a new call as widget,902.7881553121034,0.0,2,31,failed,6767
Start a new call then leave and show the feedback screen,894.0939729582108,0.0,3,17,failed,6767
Start a new video call in DM as widget,902.7881553121034,0.0,2,31,failed,6767
Start a new voice call in DM as widget,902.7881553121034,0.0,2,31,failed,6767
Test federated call with rtc modes compat and compat,902.7881553121034,0.0,2,33,failed,6767
Test federated call with rtc modes compat and legacy,902.7881553121034,0.0,2,33,failed,6767
Test federated call with rtc modes legacy and compat,902.7881553121034,0.0,2,33,failed,6767
Test federated call with rtc modes legacy and legacy,902.7881553121034,0.0,2,33,failed,6767
Test swapping publisher from https://app.m.localhost/#/welcome to https://app.othersite.m.localhost/#/welcome,902.7881553121034,0.0,2,33,failed,6767
"When creator left, avoid reconnect to the same SFU",894.0939729582108,0.0,3,14,failed,6767
can only interact with header and footer while reconnecting,894.0939729582108,0.0,3,18,failed,6767
has title,0.0,0.0,0,0,pass,6767
