test_name,total_move_distance,total_scroll_distance,total_click_count,total_input_count,test_result,Commit Number
Example Spec | dashboard,847.3237595050846,0.0,2,13,pass,5788
Example Spec | database is reset after previous test,847.3237595050846,0.0,2,13,pass,5788
Example Spec | set up monitor,847.3237595050846,0.0,2,13,failed,5788
Monitor Form | condition ui,1648.7198023928324,536.0,6,13,pass,5788
Monitor Form | failing condition,1424.5651483444801,424.0,5,56,pass,5788
Monitor Form | successful condition,1634.6185637020521,910.0,6,74,pass,5788
Status Page | create and edit,847.3237595050846,0.0,2,13,failed,5788
Uptime Kuma Setup | login,847.3237595050846,0.0,2,13,pass,5788
Uptime Kuma Setup | logout,1506.6036697101508,0.0,3,13,pass,5788
Uptime Kuma Setup | setup admin,932.988210721923,0.0,2,21,pass,5788
Uptime Kuma Setup | setup sqlite,1033.6577811283244,0.0,3,0,pass,5788
Uptime Kuma Setup | take sqlite snapshot,0.0,0.0,0,0,pass,5788
